time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,16,8,0,0
2026-04-03 00:00:00+00:00,15,12,1,1
2026-04-04 00:00:00+00:00,17,9,2,2
2026-04-05 00:00:00+00:00,15,7,2,2
2026-04-06 00:00:00+00:00,16,8,1,1
2026-04-07 00:00:00+00:00,10,6,6,4
2026-04-08 00:00:00+00:00,14,9,0,0
2026-04-09 00:00:00+00:00,43,13,1,1
2026-04-10 00:00:00+00:00,35,9,0,0
2026-04-11 00:00:00+00:00,27,5,2,2
2026-04-12 00:00:00+00:00,23,5,6,6
2026-04-13 00:00:00+00:00,37,8,3,3
2026-04-14 00:00:00+00:00,15,7,1,1
2026-04-15 00:00:00+00:00,42,9,3,3
