time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-11 00:00:00+00:00,1,1,0,0
2023-02-13 00:00:00+00:00,1,1,0,0
2023-02-14 00:00:00+00:00,4,3,0,0
2023-02-15 00:00:00+00:00,0,0,5,1
2023-02-16 00:00:00+00:00,1,1,16,3
2023-02-17 00:00:00+00:00,0,0,1,1
2023-02-18 00:00:00+00:00,0,0,13,2
2023-02-19 00:00:00+00:00,0,0,1,1
2023-02-21 00:00:00+00:00,1,1,7,1
2023-02-22 00:00:00+00:00,0,0,1,1
2023-02-23 00:00:00+00:00,0,0,6,1
2023-02-24 00:00:00+00:00,32,8,54,1
2023-02-25 00:00:00+00:00,5,4,11,2
2023-02-26 00:00:00+00:00,2,2,0,0
2023-02-27 00:00:00+00:00,3,3,7,1
2023-02-28 00:00:00+00:00,17,5,26,2
2023-03-01 00:00:00+00:00,25,9,6,1
2023-03-02 00:00:00+00:00,8,6,0,0
2023-03-03 00:00:00+00:00,2,2,2,1
2023-03-04 00:00:00+00:00,5,4,0,0
2023-03-05 00:00:00+00:00,3,3,0,0
2023-03-06 00:00:00+00:00,3,3,4,1
2023-03-07 00:00:00+00:00,2,2,0,0
2023-03-08 00:00:00+00:00,4,3,26,1
2023-03-09 00:00:00+00:00,4,4,0,0
2023-03-10 00:00:00+00:00,3,3,2,1
2023-03-11 00:00:00+00:00,3,3,0,0
2023-03-12 00:00:00+00:00,3,3,0,0
2023-03-13 00:00:00+00:00,3,3,0,0
2023-03-14 00:00:00+00:00,2,2,0,0
2023-03-15 00:00:00+00:00,3,3,0,0
2023-03-16 00:00:00+00:00,3,3,0,0
2023-03-17 00:00:00+00:00,2,2,0,0
2023-03-18 00:00:00+00:00,4,4,0,0
2023-03-19 00:00:00+00:00,3,3,0,0
2023-03-20 00:00:00+00:00,3,3,0,0
2023-03-21 00:00:00+00:00,2,2,0,0
2023-03-22 00:00:00+00:00,2,2,13,1
2023-03-23 00:00:00+00:00,2,2,6,1
2023-03-24 00:00:00+00:00,3,3,8,2
2023-03-25 00:00:00+00:00,3,3,0,0
2023-03-26 00:00:00+00:00,2,2,0,0
2023-03-27 00:00:00+00:00,6,6,0,0
2023-03-28 00:00:00+00:00,2,2,0,0
2023-03-29 00:00:00+00:00,2,2,0,0
2023-03-30 00:00:00+00:00,3,3,17,2
2023-03-31 00:00:00+00:00,3,3,1,1
2023-04-01 00:00:00+00:00,2,2,0,0
2023-04-02 00:00:00+00:00,2,2,0,0
2023-04-03 00:00:00+00:00,2,2,0,0
2023-04-04 00:00:00+00:00,2,2,0,0
2023-04-05 00:00:00+00:00,2,2,0,0
2023-04-06 00:00:00+00:00,4,3,4,1
2023-04-07 00:00:00+00:00,3,3,1,1
2023-04-08 00:00:00+00:00,3,3,0,0
2023-04-09 00:00:00+00:00,3,3,0,0
2023-04-10 00:00:00+00:00,2,2,6,1
2023-04-11 00:00:00+00:00,3,3,0,0
2023-04-12 00:00:00+00:00,3,3,0,0
2023-04-13 00:00:00+00:00,2,2,4,1
2023-04-14 00:00:00+00:00,2,2,1,1
2023-04-15 00:00:00+00:00,2,2,0,0
2023-04-16 00:00:00+00:00,2,2,0,0
2023-04-17 00:00:00+00:00,3,3,1,1
2023-04-18 00:00:00+00:00,2,2,0,0
2023-04-19 00:00:00+00:00,5,4,0,0
2023-04-20 00:00:00+00:00,5,4,4,1
2023-04-21 00:00:00+00:00,4,3,0,0
2023-04-22 00:00:00+00:00,4,3,0,0
2023-04-23 00:00:00+00:00,4,3,0,0
2023-04-24 00:00:00+00:00,3,3,0,0
2023-04-25 00:00:00+00:00,5,4,32,1
